DATE,USERCOUNT,SECONDSSPENT,QUANTITY,VOLUME,WEIGHT,PRICE
2019-07-22,102,3166153,1104314,5825.5273003175,677801.4645,3836379.25
2019-07-23,100,3287136,1283701,6707.4121889635,775063.259,3558981.27
2019-07-24,94,3092244,1140230,5281.0067358095,629404.0649444445,3298612.38
2019-07-25,102,3153881,1105062,5583.294989377,639853.3052407408,3168984.84
2019-07-26,98,2819599,1154955,5815.09850013,644173.9042962963,3071210.53
2019-07-27,1,31164,0,0.0,0.0,0.0
2019-07-29,97,3222020,1097512,5904.986131573,657100.1625,3321944.86
2019-07-30,107,3463990,1287912,6475.383969467,726897.1214444444,3444330.6
2019-07-31,119,3566266,1022492,5430.1267210485,603041.1593148148,3628581.81
2019-08-01,111,3826830,1486957,6262.921441536997,788868.3255925926,81414638.23
2019-08-02,113,3428666,1648637,5611.318009055498,817630.934148148,3406841.1
2019-08-03,1,78568,0,0.0,0.0,0.0
2019-08-05,124,4234702,1443930,5044.864868931,732636.7525,3546414.15
2019-08-06,119,3688224,1740627,5550.6098620165,857959.2656666667,4170654.34
2019-08-07,122,4192815,1796054,5462.387386628504,811507.0446481481,3735247.62
2019-08-08,125,3968833,1938092,5523.7785337965015,809440.1115481481,3524370.82
2019-08-09,118,4312319,1860283,6194.763733111,828815.3054481482,4510138.95
2019-08-10,34,827183,322490,1175.990508811,153570.7635,855279.4
2019-08-12,126,4890772,1894259,9268.749133091,1115406.7275925926,4950734.14
2019-08-13,139,4769450,1821689,7920.3430145595,941054.9971481481,5608509.15
2019-08-14,134,4840156,1986818,8251.601602387,1000310.527,5712039.15
2019-08-16,121,4298527,2151849,8163.788043526,1001724.6715,5548697.0200000005
2019-08-17,1,32590,0,0.0,0.0,0.0
2019-08-19,143,4907976,2597611,8509.4505616225,1021739.1145,5365617.99
2019-08-20,117,4212314,2391396,6768.896198474993,797090.7150185185,4356344.14
2019-08-21,126,4351893,2164272,8712.964317966998,977051.8765925927,4311343.53
2019-08-22,133,4646242,1867852,6691.398072062498,749155.0989666666,4559337.0
2019-08-23,109,3442137,2166414,7422.666806463498,867982.2149,4100417.14
2019-08-24,1,31575,27322,96.45671475,11555.472,35584.78
2019-08-26,106,3735255,1600205,5483.531977707999,667151.9654444444,3461036.05
2019-08-27,120,3391027,1729226,6113.816482372,747919.9370481481,3698348.11
2019-08-28,100,3079563,1468327,4944.2482329905,605997.1928703703,3183109.78
2019-08-29,99,3197862,1427285,5586.745266013,715724.6298851852,3652338.13
2019-08-30,88,2577445,1274976,5221.18754991,665709.269462963,3668509.6300000004
2019-09-02,106,3399041,1495699,6096.112600093,690229.7941407408,4317174.88
2019-09-03,111,3325162,1370750,6097.5291847755,731741.5160962963,4693556.91
2019-09-04,98,2959243,1093928,5152.8945277715,638454.2104,3880068.96
2019-09-05,101,3341697,1282453,5669.285573095,725071.9358,3935420.41
2019-09-06,91,3037115,1452246,6003.390650913,770778.6539,4541617.63
2019-09-07,1,35861,0,0.0,0.0,0.0
2019-09-09,100,3059135,1396332,5452.4393540005,683325.0985000001,3731957.72
2019-09-10,110,3789376,1619831,8212.598373458,962272.5761481482,4793375.04
2019-09-11,107,3797282,1397995,6752.555533768,820355.7344444444,4549706.79
2019-09-12,119,4358128,1443715,7220.2374089235,827565.6887833334,5238130.96
2019-09-13,107,3983149,1696950,8025.4455713995,940889.555037037,5382938.8100000005
2019-09-14,1,32699,0,0.0,0.0,0.0
2019-09-16,116,4597404,1509196,7530.495098349,850374.655162963,4928760.04
2019-09-17,120,4808292,1562045,8539.7052589855,915265.4606962963,5981722.71
2019-09-18,121,4081781,1440783,7405.9503306635,790235.7294444444,109946555.72
2019-09-19,123,4262527,1575391,7927.513284121,873393.2906481482,5404221.89
2019-09-20,109,4111647,2049325,9464.493271486499,1034541.5636703704,5956133.62
2019-09-21,1,29922,0,0.0,0.0,0.0
2019-09-23,122,4032365,1854273,8181.270191876501,921451.0136851852,5196758.46
2019-09-24,134,4486814,1983115,8592.164003116,978712.6535,5636397.88
2019-09-25,133,4540312,1848934,7356.924746899,850018.3715370371,5037236.88
2019-09-26,124,4491597,2150511,7352.631280982,844196.7385,4531755.66
2019-09-27,129,4571594,3169493,10274.591729971,1118911.0532962964,5261003.5
