SECONDSSPENT,FORECAST,DATE
0.0,,2023-07-02
833449.0,,2023-07-03
1020230.0,,2023-07-04
898661.0,,2023-07-05
838718.0,,2023-07-06
664364.0,,2023-07-07
0.0,,2023-07-08
0.0,,2023-07-09
1129524.0,,2023-07-10
1134578.0,,2023-07-11
992222.0,,2023-07-12
872756.0,,2023-07-13
544651.0,,2023-07-14
0.0,,2023-07-15
0.0,,2023-07-16
809239.0,,2023-07-17
1117053.0,,2023-07-18
1212257.0,,2023-07-19
1212211.0,,2023-07-20
0.0,,2023-07-21
0.0,,2023-07-22
0.0,,2023-07-23
884921.0,,2023-07-24
1514598.0,,2023-07-25
1162448.0,,2023-07-26
1170973.0,,2023-07-27
1233137.0,,2023-07-28
0.0,,2023-07-29
0.0,,2023-07-30
921154.0,,2023-07-31
1113215.0,,2023-08-01
1103799.0,,2023-08-02
1073300.0,,2023-08-03
961447.0,,2023-08-04
0.0,,2023-08-05
0.0,,2023-08-06
1371141.0,,2023-08-07
977579.0,,2023-08-08
753463.0,,2023-08-09
466652.0,,2023-08-10
560227.0,,2023-08-11
0.0,,2023-08-12
0.0,,2023-08-13
441602.0,,2023-08-14
0.0,,2023-08-15
1368419.0,,2023-08-16
1057736.0,,2023-08-17
868794.0,,2023-08-18
0.0,,2023-08-19
0.0,,2023-08-20
1247115.0,,2023-08-21
1073066.0,,2023-08-22
961466.0,,2023-08-23
1108381.0,,2023-08-24
642270.0,,2023-08-25
0.0,,2023-08-26
0.0,,2023-08-27
877605.0,,2023-08-28
876346.0,,2023-08-29
939992.0,,2023-08-30
1072485.0,,2023-08-31
818886.0,,2023-09-01
42183.0,,2023-09-02
0.0,,2023-09-03
954562.0,,2023-09-04
1011177.0,,2023-09-05
1034343.0,,2023-09-06
1188909.0,,2023-09-07
924883.0,,2023-09-08
0.0,,2023-09-09
0.0,,2023-09-10
1207291.0,,2023-09-11
911369.0,,2023-09-12
848544.0,,2023-09-13
1053873.0,,2023-09-14
958335.0,,2023-09-15
0.0,,2023-09-16
0.0,,2023-09-17
1313324.0,,2023-09-18
1300838.0,,2023-09-19
1558018.0,,2023-09-20
1281051.0,,2023-09-21
1229651.0,,2023-09-22
227385.0,708360.0972741,2023-09-23
0.0,708480.6768539784,2023-09-24
1171721.0,1416243.4062621817,2023-09-25
1249771.0,1347906.0904420875,2023-09-26
1257222.0,1421688.6576219145,2023-09-27
1339688.0,1372047.8223496177,2023-09-28
1381580.0,1333889.1865447662,2023-09-29
,949185.3400429536,2023-09-30
,949226.3131050738,2023-10-01
,1474181.6140657258,2023-10-02
,1448256.1451529835,2023-10-03
,1529030.9292300637,2023-10-04
,1452173.803700237,2023-10-05
,1428074.5795929735,2023-10-06
