DATE,LOCUS,WOANBL
2018-11-26,TL,34
2018-11-27,ARWEB,0
2018-11-27,NL,38356
2018-11-27,PHSLD,2168
2018-11-27,TL,8
2018-11-28,ARWEB,5
2018-11-28,NL,24814
2018-11-28,NLECO,21
2018-11-28,NWKL,533
2018-11-28,TL,2
2018-11-29,ARWEB,1
2018-11-29,NL,23416
2018-11-29,PHSLD,1147
2018-11-30,ARWEB,0
2018-11-30,NL,24
2018-11-30,NWKL,2665
2018-12-01,NL,11845
2018-12-02,NL,22229
2018-12-03,ARWEB,21
2018-12-03,NL,24648
2018-12-03,NLECO,61
2018-12-03,NWDSP,25
2018-12-03,NWECO,152
2018-12-04,ARWEB,1
2018-12-04,NL,32079
2018-12-04,PHSLD,45
2018-12-04,TL,1
2018-12-05,ARWEB,1
2018-12-05,NL,23922
2018-12-06,ARWEB,1
2018-12-06,NL,669
2018-12-07,NL,958
2018-12-07,TL,6
2018-12-08,NL,45527
2018-12-09,NL,30855
2018-12-10,ARWEB,3
2018-12-10,NL,36081
2018-12-10,TL,1
2018-12-11,ARWEB,2
2018-12-11,NL,39535
2018-12-11,TL,2
2018-12-12,ARWEB,1
2018-12-12,NL,30041
2018-12-13,ARWEB,2
2018-12-13,NL,3
2018-12-13,NLECO,1
2018-12-14,ARWEB,3
2018-12-14,NL,4480
2018-12-15,NL,29876
2018-12-16,NL,25201
2018-12-17,ARWEB,3
2018-12-17,NL,42775
2018-12-18,ARWEB,2
2018-12-18,NL,20068
2018-12-19,ARWEB,1
2018-12-19,NL,20368
2018-12-20,ARWEB,2
2018-12-20,NL,39
2018-12-20,VSOLD,0
2018-12-21,ARWEB,0
2018-12-21,NL,18
2018-12-22,NL,25831
2018-12-23,NL,454
2018-12-23,PHKER,0
2018-12-24,ARWEB,2
2018-12-24,NL,42549
2018-12-24,PHKER,9
2018-12-25,NL,20409
2018-12-25,PHKER,0
2018-12-26,ARWEB,4
2018-12-26,NL,25369
2018-12-26,NWDSP,0
2018-12-27,ARWEB,5
2018-12-27,EXT,1
2018-12-27,NL,168
2018-12-28,NL,0
2018-12-28,VSOLD,42
2018-12-29,NL,20741
2018-12-30,NL,446
2018-12-31,NL,15566
2018-12-31,NLECO,10
2019-01-01,NL,19353
2019-01-02,ARWEB,3
2019-01-02,NL,15269
2019-01-02,NWDSP,21
2019-01-02,NWECO,175
2019-01-02,TL,1
2019-01-03,ARWEB,1
2019-01-03,NL,1027
2019-01-04,ARWEB,0
2019-01-04,NL,5
2019-01-04,NWKL,2042
2019-01-05,NL,19893
2019-01-06,NL,12802
2019-01-07,ARWEB,5
2019-01-07,NL,21603
2019-01-07,VFOLD,12086
2019-01-08,ARWEB,4
2019-01-08,NL,33550
2019-01-09,ARWEB,10
2019-01-09,NL,28691
2019-01-09,NWKL,2105
2019-01-09,TL,7
2019-01-10,ARWEB,2
2019-01-10,NL,27257
2019-01-10,NLECO,11
2019-01-11,NL,2012
2019-01-11,NLECO,517
2019-01-12,NL,5019
2019-01-13,NL,16812
2019-01-14,ARWEB,5
2019-01-14,NL,21390
2019-01-15,ARWEB,0
2019-01-15,NL,25731
2019-01-16,ARWEB,1
2019-01-16,NL,19727
2019-01-16,TL,9
2019-01-17,NL,20482
2019-01-18,ARWEB,1
2019-01-18,NL,44
2019-01-19,NL,3313
2019-01-20,NL,14829
2019-01-21,ARWEB,2
2019-01-21,NL,19206
2019-01-22,ARWEB,5
2019-01-22,NL,19928
2019-01-22,NLECO,1
2019-01-23,ARWEB,6
2019-01-23,NL,23355
2019-01-24,ARWEB,0
2019-01-24,NL,22753
2019-01-24,TL,1
2019-01-25,ARWEB,5
2019-01-25,NL,125
2019-01-26,NL,4168
2019-01-27,NL,15786
2019-01-28,ARWEB,72
2019-01-28,NL,21558
2019-01-29,NL,22832
2019-01-29,TL,3
2019-01-30,ARWEB,4
2019-01-30,NL,20328
2019-01-31,ARWEB,5
2019-01-31,NL,24412
2019-02-01,ARWEB,3
2019-02-01,NL,825
2019-02-02,NL,6972
2019-02-03,NL,27140
2019-02-04,ARWEB,3
2019-02-04,NL,36194
2019-02-05,ARWEB,6
2019-02-05,NL,39301
2019-02-05,TL,9
2019-02-06,NL,33194
2019-02-07,NL,29862
2019-02-08,ARWEB,1
2019-02-08,NL,211
2019-02-09,NL,5502
2019-02-10,NL,24432
2019-02-11,ARWEB,6
2019-02-11,NL,21479
2019-02-11,NWDSP,17
2019-02-11,NWECO,74
2019-02-12,ARWEB,2
2019-02-12,NL,24989
2019-02-13,ARWEB,2
2019-02-13,NL,20056
2019-02-13,TL,2
2019-02-14,ARWEB,9
2019-02-14,NL,28567
2019-02-15,ARWEB,9
2019-02-15,NL,15
2019-02-15,NWKL,1285
2019-02-16,NL,4715
2019-02-17,NL,24983
2019-02-18,ARWEB,4
2019-02-18,NL,27874
2019-02-18,TL,4
2019-02-19,ARWEB,32
2019-02-19,NL,33171
2019-02-20,ARWEB,2
2019-02-20,NL,27958
2019-02-21,ARWEB,7
2019-02-21,NL,28040
2019-02-22,ARWEB,3
2019-02-22,NL,16
2019-02-23,NL,4488
2019-02-24,NL,20425
2019-02-25,ARWEB,49
2019-02-25,NL,22519
2019-02-26,NL,25691
2019-02-26,TL,1
2019-02-27,NL,20375
2019-02-27,TL,22
2019-02-28,ARWEB,1
2019-02-28,NL,25207
2019-02-28,TL,3
2019-03-01,NL,18
2019-03-01,NLECO,0
2019-03-01,NWKL,1091
2019-03-01,TL,19
2019-03-02,NL,4052
2019-03-03,NL,22116
2019-03-04,ARWEB,11
2019-03-04,NL,29967
2019-03-04,NLECO,9
2019-03-05,ARWEB,14
2019-03-05,NL,36213
2019-03-05,TL,38
2019-03-06,ARWEB,9
2019-03-06,NL,28295
2019-03-07,ARWEB,6
2019-03-07,NL,30636
2019-03-07,TL,32
2019-03-08,ARWEB,5
2019-03-08,NL,3503
2019-03-09,NL,4657
2019-03-10,NL,22324
2019-03-11,ARWEB,7
2019-03-11,NL,24634
2019-03-12,ARWEB,23
2019-03-12,NL,36311
2019-03-12,TL,8
2019-03-13,ARWEB,8
