DATE,SECONDSSPENT,FORECAST
2023-01-29,3600.0,1599.0071163902567
2023-01-30,1670482.0,1217519.8378917465
2023-01-31,981549.0,1299599.574488721
2023-02-01,1324089.0,1180874.076956784
2023-02-02,1444144.0,1228244.7344458916
2023-02-03,1117734.0,1063809.4409159862
2023-02-04,3600.0,97084.38993853402
2023-02-05,3600.0,1616.7387173089694
2023-02-06,1613518.0,1211324.244405639
2023-02-07,1229264.0,1263315.9305873318
2023-02-08,1402384.0,1297170.279327867
2023-02-09,1615128.0,1326103.5327850792
2023-02-10,646451.0,1171040.9836605156
2023-02-11,3600.0,79882.44072420399
2023-02-12,3600.0,1364.3622693418777
2023-02-13,1476641.0,1141818.2192020575
2023-02-14,1462322.0,1165921.98794343
2023-02-15,1937344.0,1370603.0645985578
2023-02-16,1757031.0,1631431.934799174
2023-02-17,1415047.0,1342450.9860858605
2023-02-18,3600.0,121229.27743482646
2023-02-19,3600.0,2114.894874568554
2023-02-20,1744403.0,1299738.8239459582
2023-02-21,1787731.0,1357759.8158602063
2023-02-22,1587857.0,1646467.807592616
2023-02-23,1528159.0,1589491.705406318
2023-02-24,1177266.0,1233927.535938822
2023-02-25,3600.0,104784.63996434236
2023-02-26,3600.0,1862.7808496903663
2023-02-27,1814740.0,1237248.9885708047
2023-02-28,1794647.0,1361102.0174924152
2023-03-01,1699661.0,1646246.0968157959
2023-03-02,1415714.0,1645063.7366662223
2023-03-03,1187482.0,1211247.0653370814
2023-03-04,3600.0,103291.75991451116
2023-03-05,3600.0,1872.6384884722997
2023-03-06,1427623.0,1233836.7149755647
2023-03-07,1170581.0,1183239.8536828966
2023-03-08,1917093.0,1220311.8810977587
2023-03-09,1506858.0,1539115.8497858413
2023-03-10,1153725.0,1206991.9797046483
2023-03-11,3600.0,100693.2408161532
2023-03-12,3600.0,1861.9621300389563
2023-03-13,1590434.0,1222168.2060887655
2023-03-14,1349727.0,1249466.240201136
2023-03-15,1661903.0,1357348.4152959974
2023-03-16,1426462.0,1471961.8319753276
2023-03-17,1294804.0,1147820.2653823453
2023-03-18,3600.0,103281.8354181995
2023-03-19,3600.0,1946.693962768222
2023-03-20,1935518.0,1233709.4179632734
2023-03-21,1839246.0,1406947.440340185
2023-03-22,1631997.0,1701954.228118708
2023-03-23,1562705.0,1623040.6708078752
2023-03-24,643824.0,1264992.1950525066
2023-03-25,3600.0,79605.55445616184
2023-03-26,3600.0,1535.144192417652
2023-03-27,982306.0,1137753.4074050162
2023-03-28,1169880.0,933704.7798496605
2023-03-29,1794094.0,1093554.4082509764
2023-03-30,1974554.0,1404005.5109341631
2023-03-31,3600.0,1336471.154731943
2023-04-01,3600.0,55338.83252303527
2023-04-02,3600.0,1102.1549029333987
2023-04-03,2056112.0,1025292.4396516286
2023-04-04,1812646.0,1369759.2915991556
2023-04-05,1631124.0,1669293.2003398072
2023-04-06,1523821.0,1603326.7378055004
2023-04-07,1979699.0,1218952.9223884696
2023-04-08,3600.0,133617.47331781383
2023-04-09,3600.0,2703.055674225915
2023-04-10,3600.0,1362815.8827928896
2023-04-11,1497549.0,594842.4025818118
2023-04-12,1575238.0,1088415.0556576753
2023-04-13,1471610.0,1290843.741727937
2023-04-14,1232105.0,1082800.717018142
2023-04-15,606896.0,94901.46967165297
2023-04-16,3600.0,14173.104398803798
2023-04-17,2128930.0,3822383.357388175
2023-04-18,1533817.0,2708306.6398948305
2023-04-19,1591179.0,2198471.7848164393
2023-04-20,1683096.0,1836521.4577821605
2023-04-21,1269227.0,1382207.152546922
2023-04-22,3600.0,114498.68181808929
2023-04-23,3600.0,2211.4449344412087
2023-04-24,2135093.0,1241840.7804984362
